T.J.,Watt,Pittsburgh Steelers,LB,14
Devin,White,Tampa Bay Buccaneers,LB,11
Roquan,Smith,Chicago Bears,LB,10
Aaron,Donald,Los Angeles Rams,DT,14
Joey,Bosa,Los Angeles Chargers,DE,12
Haason,Reddick,Arizona Cardinals,LB,16
Shaquil,Barrett,Tampa Bay Buccaneers,LB,14
Maxx,Crosby,Las Vegas Raiders,DE,15
Leonard,Williams,New York Giants,DL,10
Montez,Sweat,Washington Football Team,DE,14
Vince,Williams,Pittsburgh Steelers,LB,14
J.J.,Watt,Houston Texans,DE,13
Za'Darius,Smith,Green Bay Packers,LB,10
Lavonte,David,Tampa Bay Buccaneers,LB,14
Brandon,Graham,Philadelphia Eagles,DE,12
Frank,Clark,Kansas City Chiefs,DE,14
Leonard,Floyd,Los Angeles Rams,LB,11
Trey,Hendrickson,New Orleans Saints,DE,12
Khalil,Mack,Chicago Bears,LB,16
Olivier,Vernon,Cleveland Browns,DE,14
Harold,Landry,Tennessee Titans,LB,10
Romeo,Okwara,Miami Dolphins,DE,13
Zach,Sieler,Detroit Lions,DT,11
Demarcus,Lawrence,Dallas Cowboys,DE,16
Cameron,Jordan,New Orleans Saints,DE,10
Jamal,Adams,Seattle Seahawks,S,14
Demario,Davis,New Orleans Saints,LB,16
K.J.,Wriight,Seattle Seahawks,LB,11
Jordan,Hicks,Arizona Cardinals,LB,11
Myles,Garrett,Cleveland Browns,DE,10
Denico,Autry,Indianapolis Colts,DT,12
Ndamukong,Suh,Tampa Bay Buccaneers,DL,14
Kerry,Hyder,San Francisco 49ers,DL,15
David,Onyemata,New Orleans Saints,DT,16
Mario,Addison,Buffalo Bills,DE,16
DeForest,Buckner,Indianapolis Colts,DT,15
Jason,Pierre-Paul,Tampa Bay Buccaneers,LB,15
Quinnen,Williams,New York Jets,DL,13
Chase,Young,Washington Football Team,DE,16
Morgan,Fox,Los Angeles Rams,DE,13
Stephon,Tuitt,Pittsburgh Steelers,DE,10
Kyle,Van Noy,Miami Dolphins,LB,15
Matthew,Judon,Baltimore Ravens,LB,16
Patrick,Queen,Baltimore Ravens,LB,12
Fletcher,Cox,Philadelphia Eagles,DT,14
Josh,Sweat,Philadelphia Eagles,DE,12
Jordan,Whitehead,Tampa Bay Buccaneers,S,14
Keanu,Neal,Atlanta Falcons,S,10
Blake,Martinez,New York Giants,LB,15
Bradley,Chubb,Denver Broncos,LB,11
Daron,Payne,Washington Football Team,DT,14
Deion,Jones,Atlanta Falcons,LB,15
Carlos,Dunlap,Seattle Seahawks,DE,16
Bobby,Wagner,Seattle Seahawks,LB,14
Eric,Wilson,Minnesota Vikings,LB,14
Mario,Edwards Jr.,Chicago Bears,DT,13
Brian,Burns,Tampa Bay Buccaneers,DE,15
William,Gholston,Carolina Panthers,DL,15
Jabrill,Peppers,New York Giants,S,15
Bud,Dupree,Pittsburgh Steelers,LB,13
Jarran,Reed,Seattle Seahawks,DT,15
Grady,Jarrett,Carolina Panthers,DT,16
